574,"है ग़लत भी, है सही भी "
573,मन लगा कर शोध करना 
572,"ख़ुशी तो आप की ही है, बताओ किस में ढूंढोगे "
571,ये कौन है
570,ये सोचने की बात है
569,यूँ ही
568,लालाइत रहता हूँ क्यों 
567,हक़ीक़त में वो माया है 
566,AAP
565,मेरे दिल दिमाग में बनती नहीं
564,हैप्पी होली
563,दिल तब भी बेकाबू ही था
562,आँखें
561,"हर आने वाला, हो अच्छा"
560,"मेहनत में पाऊं ख़ुशी, ये हुनर सिखा दे राम"
559,वो दिखेगा फिर दिन रात 
558,आओ मिलकर करें जतन 
557,"टू ग्रेटर हाईट्स ये स्कूल बढ़े, है उससे ये फ़रियाद"
556,कभी हारेंगें कभी जीतेंगें
555,जन्मदिन की बधाई प्रिया
554,"आओ हम सब मिलकर, अपने देश को साफ़ करें"
553,"जाना तो है मुझे भी, पर कब, ये पता नहीं है"
552,"यह खोज तो जारी रहेगी, तू करे या ना करे"
551,रक्षाबंधन
550,बिनदेखे पहचान लो
549,आज लाला को तरक्की पर बहुत बहुत बधाई है
548,सही है
547,निर्भर है आप पर
546,मुझको लगा मैं घर में ही मेहमान बन गया
545,बड़ा आसां है देख पाना
544,सफल विफल के पैमाने
543,ये दोनों ये अच्छी तरह जानते हैं कि ...
542,वार्तालाप
541,बेटा मैं इस बार भी
540,साल हो गए चार
539,मैं कविता लिखने का निरंतर करता ही रहूँ प्रयास
538,गुनेहगार हूँ
537,कृतज्ञ हूँ मैं उन सभी का जो मुझसे सहमत न हुए
536,"निगाहें आईने पे थीं, बड़ा दिलकश नज़ारा था "
535,भाग रहा हूँ मैं
534,"कहाँ खींचूं, संतुलन की, जीवन में, मैं वो रेखा"
533,नहीं रहेगा कभी उदास
532,अदिति को बहुत मुबारक़ हो ये तेरवां जन्मदिन
531,Happy birthday Ajay Bhai
530,"मत देना उसको मतदाता, जो लगे करेगा पूरी आस"
529,Happy Birthday Rampo
528,ज़िन्दगी परीक्षा लेती है
527,वाणी २०१४
526,सुख भी इक आभूषण है और दुख भी है इक गहना
525,"असहमत जो हमसे है, वो ही तो गलत हुआ"
524,पच्चीस बरस हो गए पूरे
523,बिछड़ने के उस पल में मैं
522,विधाता ने किसी कारण
521,एक साल का अंत हुआ और एक का आग़ाज़
520,"बचपन में मिल जाती थी कुछ लेने में, कुछ पाने में"
519,सुन भी ले ओ प्रीत भरारा 
518,"सही क्या है ग़लत क्या है, मैं इसी उधेड़बुन में हूँ"
517,कैसी ग़लतफ़हमी में हूँ
516,"मन-बुद्धि घूमे समय में, तन जगह-जगह दिन-रात"
515,फल की इच्छा ही है क्यों
514,मतदाताओं मत डरना
513,ऐसे दीप जलें इस बार
512,"दृष्टा के दृष्टिकोण से, बदल गया एहसास"
511,मनः स्तिथि तो मेरी है 
510,"बहुत सी बातें जीवन में मैं, जान ना पाया हूँ"
509,मेरा अपना शब्द निराले 
508,खुद में बसा है खुदा तुम्हारा
507,समय
506,Education 
505,सुन गोविंदा कृष्ण मुरारी
504,"आज़ाद अपने देश की, सुन लो कहानी आज तुम"
503,ईद संग संग तीज है
502,"खुद की सच्चाई खुद को ही, अच्छी नहीं लगती है"
501,पांच गुना सौ हो गईं वो 
500,हर इक गुरु को मेरा प्रणाम 
499,सच में वाकई झूठ है
498,"दूसरे नाराज़ होंगें, दूसरों का हक़ है वो "
497,Tribute_to_the_Soldiers_at_Uttarakhand
496,चंद सवाल
495,Anamika_060613
494,शिवानी
493,पल पल पल खो जाता है
492,किसी और में हाथ में सुतली है
491,बदलेगा रंग हालातों का
490,धंसना
489,"फाइनल है न, याद है"
488,कलुग
487,जीत लो अपने अहम् को 
486,मुझे खुदसे लड़ना चाहिए 
485,झूंठ भरी दुनिया का सच
484,माँ के आशीष अनमोल
483,श्रेया की शादी के शुभ अवसर पर 
482,"जब अंधे गूंगे बेहरे नेता, पूजेंगें हैवानों को"
481,सच्चाई जीवन की
480,"भूमिका ये ख़बर है वाकई, बहुत बहुत ही अच्छी"
479,हो गया देश को
478,"आज फिर है वो ही गुस्सा, हर शहर"
477,"उसे जिसमे भी ढूंढोगे, उसी में तो मिलेगी वो "
476,दुविधा मेरे मन की ये है
475,कुछ तो हैरां मैं भी हूँ 
